link,title,description,thumbnail_link
https://vnexpress.net/ca-covid-tai-tp-hcm-tang-nguy-co-xuat-hien-lan-song-dich-moi-4504772.html,"Ca Covid tại TP HCM tăng, nguy cơ xuất hiện làn sóng dịch mới","TP HCM ghi nhận hơn 1.100 ca Covid mới trong tuần qua, tăng 258 ca so với tuần trước, số bệnh nhân nặng tại các bệnh viện cũng ở mức cao.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/shinkansen-o-viet-nam-4504662.html,Shinkansen ở Việt Nam?,"Đường sắt cao tốc theo mô hình Shinkansen có ít nhất bốn khiếm khuyết, không phù hợp áp dụng cho tuyến Hà Nội - TP HCM.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/ong-jonathan-hanh-nguyen-ipp-air-cargo-chua-duoc-cap-phep-da-co-don-hang-4503417.html,Ông Jonathan Hạnh Nguyễn: 'IPP Air Cargo chưa được cấp phép đã có đơn hàng'>,"IPP Air Cargo - hãng bay chở hàng đầu tiên của Việt Nam - được kỳ vọng cất cánh vào tháng 11, hiện đã có nhiều đối tác ký hợp đồng vận chuyển, theo ông Johnathan Hạnh Nguyễn.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/runner-nuoc-ngoai-chinh-phuc-duong-chay-vm-nha-trang-4504774.html,Runner nước ngoài chinh phục đường chạy VM Nha Trang>,KHÁNH HÒANhiều runner người nước ngoài bất ngờ với không khí náo nhiệt ở VnExpress Marathon Marvelous Nha Trang sáng 28/8 và mong muốn tham dự thêm các giải chạy khác tại Việt Nam.,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/pakistan-cau-cuu-the-gioi-vi-lu-lut-4504781.html,Pakistan cầu cứu thế giới vì lũ lụt,Pakistan đang kêu gọi hỗ trợ nhiều hơn từ quốc tế sau khi những đợt lũ lụt càn quét nước này từ tháng 6 khiến hơn 1.000 người thiệt mạng.,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/cong-ty-ma-chuyen-51-trieu-usd-qua-bien-gioi-nhu-the-nao-4504492.html,Công ty 'ma' chuyển 51 triệu USD qua biên giới như thế nào,"TP HCMTrịnh Tiến Dũng, 49 tuổi, chỉ đạo 18 công ty ""ma"" làm khống 105 hợp đồng xuất nhập khẩu, đưa tổng cộng 51 triệu USD ra nước ngoài và về Việt Nam",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/quai-xe-tron-vao-rung-khi-bi-canh-sat-vay-bat-4504801.html,'Quái xế' trốn vào rừng khi bị cảnh sát vây bắt,"BÀ RỊA - VŨNG TÀUBị cảnh sát bao vây, gần 100 thanh niên tụ tập đua xe ở Hồ Tràm đã vứt xe dưới bãi biển, chạy vào rừng trốn nhưng không thoát.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/cua-vao-san-bay-se-lap-he-thong-thu-phi-xe-tu-dong-4504741.html,Cửa vào sân bay sẽ lắp hệ thống thu phí xe tự động,"Các sân bay sẽ phải đầu tư hệ thống thu phí không dừng (ETC) để phương tiện đi lại thông suốt, tránh tình trạng ùn tắc, theo chỉ đạo của Bộ Giao thông Vận tải.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/vnexpress-marathon-nha-trang-lam-nuc-long-runner-4504796.html,VnExpress Marathon Nha Trang làm nức lòng runner,KHÁNH HÒAVui sướng và hạnh phúc dù thấm mệt là cảm xúc của 8.500 vận động viên sau khi hoàn thành chặng đua VnExpress Marathon Marvelous Nha Trang sáng 28/8.,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/tu-vi-toi-tro-lai-dong-phim-de-chia-ganh-kinh-te-voi-chong-4504745.html,Tú Vi: 'Tôi trở lại đóng phim để chia gánh kinh tế với chồng',"Diễn viên Tú Vi nói con gái bốn tuổi đã cứng cáp nên cô trở lại đóng phim, cùng chồng gánh vác kinh tế gia đình.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/gia-ca-lang-tang-dot-bien-4504770.html,Giá cá lăng tăng đột biến,Mỗi kg cá lăng tại hộ nuôi đang tăng gần gấp đôi so với cùng kỳ năm ngoái - mức tăng mạnh nhất trong các dòng cá nuôi nước ngọt.,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/cua-huynh-de-loai-1-kg-mot-con-ngay-cang-hiem-4504711.html,Cua huỳnh đế loại 1 kg một con ngày càng hiếm,"Nếu trước đây cua huỳnh đế loại 1 kg một con dễ mua với giá dưới triệu đồng, nay tăng giá 1,4 triệu đồng mà vẫn khó có hàng.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/vksnd-cap-cao-toa-sai-khi-khong-thu-hoi-68-ty-dong-tru-tri-lua-dao-4504555.html,VKSND Cấp cao: Tòa sai khi không thu hồi 68 tỷ đồng trụ trì lừa đảo,"VĨNH LONGCho rằng toà sơ thẩm đã vi phạm tố tụng khi không thu hồi gần 68 tỷ đồng Phạm Văn Cung lừa đảo khi làm trụ trì chùa Phước Quang, VKS kháng nghị huỷ án.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/nhung-bong-hong-tu-tin-tren-duong-chay-vm-nha-trang-4504757.html,Những bóng hồng tự tin trên đường chạy VM Nha Trang,"KHÁNH HÒANhiều nữ runner xinh đẹp, gây ấn tượng bởi sự tự tin trên đường đua VnExpress Marathon Marvelous Nha Trang, sáng 28/8.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/thanh-hoa-khoi-cong-tuong-dai-255-ty-dong-4504780.html,Thanh Hoá khởi công tượng đài 255 tỷ đồng,"Dự án Khu lưu niệm đồng bào, cán bộ, chiến sỹ và học sinh miền Nam tập kết ra Bắc gồm hạng mục chính là tượng đài Con tàu tập kết dự kiến hoàn thành giữa năm 2023.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/khi-ung-dung-chia-se-vi-tri-thanh-thuoc-do-tinh-ban-4504775.html,Khi ứng dụng chia sẻ vị trí thành thước đo tình bạn,"Khi nhận thông báo một người bạn ngừng chia sẻ vị trí trên iPhone với mình, Okoro cảm thấy như bị phản bội.",https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/thanh-duy-idol-khong-lay-chuyen-gioi-tinh-danh-bong-ban-than-4504424.html,Thanh Duy Idol: 'Không lấy chuyện giới tính đánh bóng bản thân',,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
https://vnexpress.net/cuoc-song-chat-vat-cua-gia-dinh-12-con-4504691.html,Cuộc sống chật vật của gia đình 12 con,,https://i1-giaitri.vnecdn.net/2022/08/28/tu-vi-3202-1661659734-16616740-1571-4571-1661674077.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=_FhM9UXLf5KQn6qR3gKnvw
